date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:41:35	299/299	---M--	200	added ('OK')	text/plain	date:Sat,%2020%20Jun%202026%2009:41:33%20GMT	https://www.wallz.gg/robots.txt		(from )
13:41:36	206424/206424	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Jun%202026%2009:41:33%20GMT	https://www.wallz.gg/	C:/Users/user/Desktop/pawn%20gambit/pawn%20gambit/www.wallz.gg/index.html	(from )
13:41:37	40830/40830	---MCZ	200	added ('OK')	text/css	etag:W/%229f7e-19ec3702070%22	https://www.wallz.gg/_next/static/chunks/07g1-u~8w_21_.css	C:/Users/user/Desktop/pawn%20gambit/pawn%20gambit/www.wallz.gg/_next/static/chunks/07g1-u_8w_21_.css	(from https://www.wallz.gg/)
13:41:39	25019/25019	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261bb-19ec3702070%22	https://www.wallz.gg/_next/static/chunks/0w8pznseomgjz.js	C:/Users/user/Desktop/pawn%20gambit/pawn%20gambit/www.wallz.gg/_next/static/chunks/0w8pznseomgjz.js	(from https://www.wallz.gg/)
13:41:40	31988/31988	---MCZ	200	added ('OK')	application/javascript	etag:W/%227cf4-19ec3702070%22	https://www.wallz.gg/_next/static/chunks/0mtfu3i9_81y7.js	C:/Users/user/Desktop/pawn%20gambit/pawn%20gambit/www.wallz.gg/_next/static/chunks/0mtfu3i9_81y7.js	(from https://www.wallz.gg/)
13:41:41	118474/118474	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ceca-19ec3702070%22	https://www.wallz.gg/_next/static/chunks/0c73fpdoly.0n.js	C:/Users/user/Desktop/pawn%20gambit/pawn%20gambit/www.wallz.gg/_next/static/chunks/0c73fpdoly.0n.js	(from https://www.wallz.gg/)
13:41:42	226345/226345	---MCZ	200	added ('OK')	application/javascript	etag:W/%2237429-19ec3702070%22	https://www.wallz.gg/_next/static/chunks/0tyjgfp34aoi_.js	C:/Users/user/Desktop/pawn%20gambit/pawn%20gambit/www.wallz.gg/_next/static/chunks/0tyjgfp34aoi_.js	(from https://www.wallz.gg/)
13:41:43	44416/44416	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ad80-19ec3702070%22	https://www.wallz.gg/_next/static/chunks/13hs~9o5c6~9m.js	C:/Users/user/Desktop/pawn%20gambit/pawn%20gambit/www.wallz.gg/_next/static/chunks/13hs_9o5c6_9m.js	(from https://www.wallz.gg/)
13:41:44	10613/10613	---MCZ	200	added ('OK')	application/javascript	etag:W/%222975-19ec3702070%22	https://www.wallz.gg/_next/static/chunks/turbopack-02tgnyyn_ce5~.js	C:/Users/user/Desktop/pawn%20gambit/pawn%20gambit/www.wallz.gg/_next/static/chunks/turbopack-02tgnyyn_ce5_.js	(from https://www.wallz.gg/)
13:41:44	3377/3377	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d31-19ec3702070%22	https://www.wallz.gg/_next/static/chunks/0a7nshsormjzc.js	C:/Users/user/Desktop/pawn%20gambit/pawn%20gambit/www.wallz.gg/_next/static/chunks/0a7nshsormjzc.js	(from https://www.wallz.gg/)
13:41:45	54647/54647	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d577-19ec3702070%22	https://www.wallz.gg/_next/static/chunks/0h7ye9l0yv4dm.js	C:/Users/user/Desktop/pawn%20gambit/pawn%20gambit/www.wallz.gg/_next/static/chunks/0h7ye9l0yv4dm.js	(from https://www.wallz.gg/)
